rsID	A1	beta
(Intercept)	""	0.0613830937751907
rs68175985	A	-0.00387045747033369
rs67585854	T	0.00717097385824946
rs72745946	T	-0.0039780433850509
rs115866005	C	-0.00931898509645877
rs73002389	C	-0.0447872723018413
rs7043997	T	0.00534120979380452
rs117208278	C	-0.0383437435858342
rs79033903	A	0.00496943935540396
rs116935814	A	-0.0259866735667392
rs11759553	T	-0.0132841931589622
rs139059125	A	0.00470195885101684
rs116605242	A	-0.00885092903743301
rs526213	C	0.0024702989979698
rs2014161	G	0.00391328824329859
