rsID	A1	beta
(Intercept)	""	0.0907917462221457
rs4813719	A	-0.0227113290729946
rs2423031	A	0.00905350143462024
rs10503262	C	0.00292073851909111
rs117103630	C	0.00818048601036597
rs8115867	G	-0.0128831947078608
rs113854393	A	-0.00837626837503081
rs75625345	G	0.00787190876457284
rs6073588	T	-0.00658328441675547
rs6486927	A	0.0031551757206145
rs2423051	C	-0.0182924690755593
rs4555486	G	0.0103797997118712
rs117093036	G	0.0068145290816324
rs116909898	A	0.0230324239906232
rs77215156	A	0.00549106012515525
rs112788213	A	-0.00761051692163899
rs144252895	A	0.0254117239883721
rs1558861	C	0.00970054062619681
rs9842742	G	0.00748551988135444
